Domain,Landing URL,Download URL,Path,SHA-256,Category,is_new,is_malicious,Threat Type
6park.com,https://www.6park.com/main.shtml,https://home.6park.com/client/6park.apk,/data2/sangyiwu/Mobile_Apps/apk_files/6park.apk,f1fb03348b02b647b0bad1fde4be3555b374de6dc7c320be46c5fae1c827ba6f,Benign,False,False,
www.djyule.com,https://sj.djyule.com/download.htm,https://www.djyule.com/djbox_upapk/djbox6_19_11_138.apk,/data2/sangyiwu/Mobile_Apps/apk_files/djbox6_19_11_138.apk,24f56817b2a3ec8217cb257ad8ca8311be960276e5994f0bccf85c60fa3b2994,Benign,False,True,"{'trojan', 'riskware'}"
2345.com,https://m.2345.com/app.htm,https://dl.2345.com/2345mobile/2345Daohang_12.0.1.apk,/data2/sangyiwu/Mobile_Apps/apk_files/2345Daohang_12.0.1.apk,6aae24dfb1c9cf1964fb63013b288ccf1cc9098aa0ce04099ec58ee3885ab681,Benign,True,True,"{'evader', 'malware', 'trojan', 'adware'}"
ixigua.com,https://m.ixigua.com/,https://lf9-apk.ugapk.cn/package/apk/video_article/1008_734/video_article_xigua_m_lv_1222_and_v1008_734_e9c9_1677064774.apk?v=1677064779,/data2/sangyiwu/Mobile_Apps/apk_files/video_article_xigua_m_lv_1222_and_v1008_734_e9c9_1677064774.apk,b3fea55e9e235396f9b5dc3e653a8fda416b23d3a2b97499b6dc84a18d40e147,Benign,True,False,
8v.com,https://download.8vtrade.com/,https://static.aws-s1.com/app/8v_1_1_4.apk,/data2/sangyiwu/Mobile_Apps/apk_files/8v_1_1_4.apk,8a6d3bb0a5f6b2a918b3cad053aa0309c6eb492b6f242e57762d5070b5e430bd,Cryptocurrency,True,False,
www.huobipro-jyptgw.com,https://m.huobi.com/zh-cn/download,https://global-prd-client-download.oss-cn-hongkong.aliyuncs.com/huobi90701c0.apk?v=1677758704056,/data2/sangyiwu/Mobile_Apps/apk_files/huobi90701c0.apk,4a8c47f7c012593412947a907cd262159016ac1242e543b194bd3621a1ce1884,Cryptocurrency,True,False,
www.huobipro-jyptgw.com,https://www.huobi.com/zh-cn/download/#exchange,https://global-prd-client-download.oss-cn-hongkong.aliyuncs.com/huobi90601c0.apk?v=1676624520071,/data2/sangyiwu/Mobile_Apps/apk_files/huobi90601c0.apk,265a5ab992febd43f38aa6dd0aa593c3bea8fbbbcefc865b93ee945d5b9cdb6e,Cryptocurrency,True,False,
v77.kr,https://bman7.xyz/,https://bman7.xyz/download/powerman.apk,/data2/sangyiwu/Mobile_Apps/apk_files/powerman.apk,939c654d64ede7f66cab6011997865cae6108a3d07d793d3f5067334cb5eb4de,Drug,False,False,
92527.org,https://colorchat.app/,https://colorchat.app/105/105.apk,/data2/sangyiwu/Mobile_Apps/apk_files/105.apk,60917872d6ba95bd0338baae5246ebcac2daa4becb9314e5d66f38f8848d3ffd,Gambling,False,False,
r.vip,https://www.aa.vip/home/game,https://5xyhts-135-ppp.s3.ap-east-1.amazonaws.com/cocos/download/135_en_normal_3.2.0.apk?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIATLSXYZMD5ALTWIEP%2F20230305%2Fap-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230305T070647Z&X-Amz-Expires=600&X-Amz-SignedHeaders=host&X-Amz-Signature=bd1d6538319d4436c08f62364d6de94e21e2cb70cf3c54d007b9a1f8d0eb9f38,/data2/sangyiwu/Mobile_Apps/apk_files/135_en_normal_3.2.0.apk,a59d3f94ef53f0424e3d34279b99b7762a0598fb763fd7a7c26aa67668d92a2a,Gambling,True,True,"{'evader', 'malware', 'trojan'}"
